Nome,Cervejaria,Grupo,Estilo,Alcool,Ativa,Sazonal,Minima,Maxima,Copo,Geral,Aroma,Aparencia,Sabor,Sensacao,Conjunto,Votos
DAB Original,DABEstiloDortmunder Export  Álcool (%)5% ABVIBU22IngredientesÁgua, malte de cevada e lúpulo.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PilsnerVisite o website,NA,Dortmunder Export,5,SIM,Não é sazonal,22,NA, Pilsner,3.1,6,3,13,3,6,108
Darguner Pilsener,Harboes BryggeriEstiloGerman Pilsner  Álcool (%)5% ABVIngredientesAgua, malte de cevada e lúpuloAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PilsnerVisite o website,NA,German Pilsner,5,SIM,Não é sazonal,5,7, Pilsner,2.8,5,3,11,3,6,42
Einbecker Ur-Bock Hell,Einbecker BrauhausImportadoraBier&WeinEstiloMaibock/Helles Bock  Álcool (%)6.5% ABVIngredientesÁgua, Malte de Cevada e LúpuloAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal TulipaVisite o website,NA,Maibock/Helles Bock,6.5,SIM,Não é sazonal,5,7, Tulipa,3.4,7,3,14,4,7,59
Erdinger Champ,Erdinger WeissbräuImportadoraBier&WeinEstiloGerman Weizen  Álcool (%)4.7% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,4.7,SIM,Não é sazonal,5,7, Weizen,2.2,4,3,8,2,4,164
Erdinger Pikantus,Erdinger WeissbräuImportadoraBier&WeinEstiloGerman Weizenbock  Álcool (%)7.3% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizenbock,7.3,SIM,Não é sazonal,5,7, Weizen,3.4,6,4,13,3,7,222
Erdinger Schneeweisse Winterbier ,Erdinger WeissbräuImportadoraBier&WeinEstiloGerman Weizen  Álcool (%)5.6% ABVAtivaSIMSazonalInvernoTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.6,SIM,Inverno,5,7, Weizen,3,5,4,12,3,6,49
Erdinger Urweisse,Erdinger WeissbräuImportadoraBier&WeinEstiloGerman Weizen  Álcool (%)5.2% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.2,SIM,Não é sazonal,5,7, Weizen,3.6,7,4,14,4,7,207
Erdinger Weissbier,Erdinger WeissbräuImportadoraBier&WeinEstiloGerman Weizen  Álcool (%)5.3% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.3,SIM,Não é sazonal,5,7, Weizen,3.2,6,4,13,3,7,348
Erdinger Weissbier Alkoholfrei,Erdinger WeissbräuImportadoraBier&WeinEstiloSem álcool  Álcool (%)0.4% ABVIngredienteságua, malte de cevada, malte de trigo, lupulo e leveduraAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) CalderetaVisite o website,NA,Sem álcool,0.4,SIM,Não é sazonal,0,4, Lager (Chope) Caldereta,2.2,4,3,8,2,4,74
Erdinger Weissbier Dunkel,Erdinger WeissbräuImportadoraBier&WeinEstiloGerman Dunkelweizen  Álcool (%)5.3% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal WeizenVisite o website,NA,German Dunkelweizen,5.3,SIM,Não é sazonal,8,12, Weizen,3.2,6,4,13,3,6,247
Erdinger Weissbier Oktoberfest,Erdinger WeissbräuImportadoraBier&WeinEstiloGerman Weizen  Álcool (%)5.7% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.7,SIM,Não é sazonal,5,7, Weizen,3.1,6,3,12,3,6,66
Flensburger Pilsener,Flensburger BrauereiEstiloGerman Pilsner  Álcool (%)4.8% ABVIngredientesWater, barley malt, hop extract.AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal PilsnerVisite o website,NA,German Pilsner,4.8,SIM,Não é sazonal,NA,0, Pilsner,3.2,6,3,13,3,7,47
Flensburger Weizen,Flensburger BrauereiEstiloGerman Weizen  Álcool (%)5.1% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.1,SIM,Não é sazonal,0,4, Weizen,3.5,7,4,14,4,7,28
Flensburger Winterbock,Flensburger BrauereiEstiloTraditional Bock  Álcool (%)7% ABVAtivaSIMSazonalInvernoTemperatura5-7 °C Copo ideal Tulipa,NA,Traditional Bock,7,SIM,Inverno,5,7, Tulipa,3.2,6,3,13,3,6,32
Franziskaner Hefe-Weissbier Dunkel,Spaten-Franziskaner-Bräu,Anheuser-InBevImportadoraAmBev,German Dunkelweizen,5.5,SIM,Não é sazonal,8,12, Weizen,3.6,7,4,14,4,7,247
Franziskaner Hefe-Weissbier Naturtrüb,Spaten-Franziskaner-Bräu,Anheuser-InBevImportadoraAmBev,German Weizen,5,SIM,Não é sazonal,5,7, Weizen,3.7,7,4,15,4,7,354
Franziskaner Weissbier Kristall-Klar,Spaten-Franziskaner-Bräu,Anheuser-InBevImportadoraAmBev,German Kristallweizen,5,SIM,Não é sazonal,5,7, Weizen,3.4,6,4,13,3,7,81
Früh Kölsch,Brauerei Früh Am DomEstiloKölsch  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Tulipa CilíndricoVisite o website,NA,Kölsch,4.8,SIM,Não é sazonal,5,7, Tulipa Cilíndrico,3.3,6,3,13,3,7,69
Fürstenberg Premium Lager,FürstenbergEstiloPremium American Lager  Álcool (%)5.3% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Lager (Chope)Visite o website,NA,Premium American Lager,5.3,SIM,Não é sazonal,5,7, Lager (Chope),2.8,5,3,11,3,6,43
Gaffel Kölsch,Gaffel Becker & Co.EstiloKölsch  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal CilíndricoVisite o website,NA,Kölsch,NA,SIM,Não é sazonal,4.8,0, Cilíndrico,2.9,5,3,11,3,6,72
Hacker-Pschorr Anno 1417,Hacker-PschorrEstiloKeller/Zwickel  Álcool (%)5.5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Lager (Chope)Visite o website,NA,Keller/Zwickel,5.5,SIM,Não é sazonal,5,7, Lager (Chope),3.5,6,4,14,3,7,222
Hacker-Pschorr Münchener Gold,Hacker-PschorrImportadoraCasa FloraEstiloMunich Helles  Álcool (%)5.5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CanecaVisite o website,NA,Munich Helles,5.5,SIM,Não é sazonal,5,7, Caneca,3.3,6,4,13,3,7,72
Hofbräu Dunkel,Hofbräuhaus MünchenEstiloMunich Dunkel  Álcool (%)5.5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Caneca CalderetaVisite o website,NA,Munich Dunkel,5.5,SIM,Não é sazonal,5,7, Caneca Caldereta,3.5,7,4,14,4,7,42
Hofbräu Münchner Weisse,Hofbräuhaus MünchenEstiloGerman Weizen  Álcool (%)5.1% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.1,SIM,Não é sazonal,5,7, Weizen,3.5,7,4,14,4,7,62
Hofbräu Oktoberfestbier,Hofbräuhaus MünchenImportadoraBier&WeinEstiloOktoberfest/Marzen  Álcool (%)5.7% ABVAtivaSIMSazonalOktoberfestTemperatura0-4 °C Copo ideal Pilsner CanecaVisite o website,NA,Oktoberfest/Marzen,5.7,SIM,Oktoberfest,0,4, Pilsner Caneca,3.3,6,3,13,3,7,56
Hofbräu Original,Hofbräuhaus MünchenImportadoraBier&WeinEstiloMunich Helles  Álcool (%)5.1% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Pilsner Caneca CalderetaVisite o website,NA,Munich Helles,5.1,SIM,Não é sazonal,5,7, Pilsner Caneca Caldereta,3.3,6,3,13,4,7,250
Jever Pilsener,Jever,OetkerImportadoraBeer Legends,German Pilsner,4.9,SIM,Não é sazonal,0,4, Pilsner,3.4,6,3,14,3,7,103
Justus Weizen Hefe Hell,Pfungstädter BrauereiImportadoraBeerTradeEstiloGerman Weizen  Álcool (%)4.9% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,4.9,SIM,Não é sazonal,5,7, Weizen,3.6,7,4,14,4,7,54
Kaiserdom German Dark Lager,Kaiserdom PrivatbrauereiEstiloSchwarzbier  Álcool (%)4.7% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope) Caldereta,NA,Schwarzbier,4.7,SIM,Não é sazonal,0,4, Lager (Chope) Caldereta,3.1,6,4,12,3,6,49
Kaiserdom Hefe-Weissbier Naturtrüb,Kaiserdom PrivatbrauereiEstiloGerman Weizen  Álcool (%)5% ABVIngredientesAgua, malte, levedura e lúpulo.AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal WeizenVisite o website,NA,German Weizen,5,SIM,Não é sazonal,NA,0, Weizen,2.9,6,3,12,3,6,88
Kaiserdom Kellerbier,Kaiserdom PrivatbrauereiEstiloKeller/Zwickel  Álcool (%)4.7% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CanecaVisite o website,NA,Keller/Zwickel,4.7,SIM,Não é sazonal,5,7, Caneca,3.2,6,3,13,3,6,29
Kaiserdom Pilsner,Kaiserdom PrivatbrauereiEstiloGerman Pilsner  Álcool (%)4.8% ABVIngredientesMalte de cevada, lúpulo e água.AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal TaçaVisite o website,NA,German Pilsner,4.8,SIM,Não é sazonal,NA,0, Taça,2.7,5,3,11,3,6,63
Kaiserdom Premium German Lager,Kaiserdom PrivatbrauereiEstiloMunich Helles  Álcool (%)4.5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CanecaVisite o website,NA,Munich Helles,4.5,SIM,Não é sazonal,5,7, Caneca,3,5,3,12,3,6,34
König Ludwig Weissbier Hell,Schlossbrauerei KaltenbergEstiloGerman Weizen  Álcool (%)5.5% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.5,SIM,Não é sazonal,8,12, Weizen,3.5,7,4,14,3,7,45
König Pilsener,König Brauerei,BitburgerImportadoraStuttgart,German Pilsner,4.9,SIM,Não é sazonal,0,4, Pilsner Caneca,3.2,6,3,13,3,7,159
Köstritzer Schwarzbier,Köstritzer Schwarzbierbrauerei,BitburgerImportadoraStuttgart,Schwarzbier,4.8,SIM,Não é sazonal,NA,8, Taça,3,5,3,12,3,6,178
Krombacher Pils,Krombacher Privatbrauerei KreuztalEstiloGerman Pilsner  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Pilsner CanecaVisite o website,NA,German Pilsner,4.8,SIM,Não é sazonal,0,4, Pilsner Caneca,2.9,5,3,12,3,6,86
Licher Weizen Hefe Hell,Licher Privatbrauerei,BitburgerImportadoraStuttgart,German Weizen,5.4,SIM,Não é sazonal,5,7, Weizen,3.5,7,4,14,3,7,190
Löwenbräu Original,Löwenbräu Munich,Anheuser-InBevImportadoraAmBev,Munich Helles,5.2,SIM,Não é sazonal,0,4, Lager (Chope),2.8,5,3,11,3,6,73
Maisel's Weisse Original,Gebrüder Maisel BayreuthImportadoraBeer LegendsEstiloGerman Weizen  Álcool (%)5.4% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.4,SIM,Não é sazonal,0,4, Weizen,3.5,7,4,14,4,7,59
Oettinger Hefeweizen,Oettinger Bier GruppeImportadoraUnilandEstiloGerman Weizen  Álcool (%)4.9% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,4.9,SIM,Não é sazonal,5,7, Weizen,3.1,6,3,12,3,6,115
Oettinger Pils,Oettinger Bier GruppeImportadoraUnilandEstiloGerman Pilsner  Álcool (%)4.7% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal PilsnerVisite o website,NA,German Pilsner,4.7,SIM,Não é sazonal,0,4, Pilsner,2.5,5,3,10,3,5,71
Oettinger Super Forte,Oettinger Bier GruppeImportadoraUnilandEstiloMalt Liquor  Álcool (%)8.9% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal TaçaVisite o website,NA,Malt Liquor,8.9,SIM,Não é sazonal,0,4, Taça,2.6,5,3,10,3,5,84
Paulaner Hefe-Weissbier Dunkel,Paulaner Brauerei MünchenImportadoraCasa FloraEstiloGerman Dunkelweizen  Álcool (%)5.3% ABVIngredientesÁgua, maltes de trigo e cevada, levedura e lúpulo. AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Dunkelweizen,5.3,SIM,Não é sazonal,NA,5, Weizen,3.6,7,4,14,4,7,251
Paulaner Hefe-Weissbier Naturtrüb,Paulaner Brauerei MünchenImportadoraCasa FloraEstiloGerman Weizen  Álcool (%)5.5% ABVIngredientesÁgua, maltes de trigo e cevada, levedura e lúpulo. AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.5,SIM,Não é sazonal,NA,5, Weizen,NA,NA,NA,NA,NA,NA,NA
Paulaner Oktoberfest Bier,Paulaner Brauerei MünchenImportadoraCasa FloraEstiloOktoberfest/Marzen  Álcool (%)6% ABVIngredientesÁgua, cevada, lúpulo e levedura.AtivaSIMSazonalOktoberfestTemperatura0-4 °C Copo ideal Pilsner CanecaVisite o website,NA,Oktoberfest/Marzen,6,SIM,Oktoberfest,NA,0, Pilsner Caneca,3.2,6,3,13,3,7,114
Paulaner Original Münchner Hell (Premium Lager),Paulaner Brauerei MünchenImportadoraCasa FloraEstiloMunich Helles  Álcool (%)4.9% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CanecaVisite o website,NA,Munich Helles,4.9,SIM,Não é sazonal,5,7, Caneca,3.2,6,3,13,3,6,214
Paulaner Salvator,Paulaner Brauerei MünchenImportadoraCasa FloraEstiloDoppelbock  Álcool (%)7.9% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Tulipa CilíndricoVisite o website,NA,Doppelbock,7.9,SIM,Não é sazonal,8,12, Tulipa Cilíndrico,3.8,7,4,15,4,8,330
Paulaner Weissbier Kristallklar,Paulaner Brauerei MünchenEstiloGerman Kristallweizen  Álcool (%)5.2% ABVIngredientesÁgua, maltes de trigo e cevada, lúpulo e levedura.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Kristallweizen,5.2,SIM,Não é sazonal,NA,5, Weizen,3.4,6,4,14,3,7,83
Radeberger Pilsner,Radeberger BreweryEstiloGerman Pilsner  Álcool (%)4.8% ABVAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal PilsnerVisite o website,NA,German Pilsner,4.8,SIM,Não é sazonal,0,4, Pilsner,NA,NA,NA,NA,NA,NA,NA
Schneider Aventinus Weizen-Eisbock,Weissbierbrauerei G. Schneider & SohnImportadoraStuttgartEstiloEisbock  Álcool (%)12% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal Tulipa TaçaVisite o website,NA,Eisbock,NA,SIM,Não é sazonal,12,8, Tulipa Taça,3.8,8,4,15,4,8,83
Schneider Weisse TAP 1 Mein Blondes,Weissbierbrauerei G. Schneider & SohnImportadoraStuttgartEstiloGerman Weizen  Álcool (%)5.2% ABVIngredientesÁgua, malte de trigo, malte de cevada, lúpulo e leveduraAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,NA,SIM,Não é sazonal,5.2,5, Weizen,3.4,6,4,13,3,7,76
Schneider Weisse TAP 2 Mein Kristall,Weissbierbrauerei G. Schneider & SohnImportadoraStuttgartEstiloGerman Kristallweizen  Álcool (%)5.3% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Kristallweizen,NA,SIM,Não é sazonal,5.3,5, Weizen,3.3,6,3,13,3,7,53
Schneider Weisse TAP 4 Mein Grünes,Weissbierbrauerei G. Schneider & SohnImportadoraStuttgartEstiloGerman Weizen  Álcool (%)6.2% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,NA,SIM,Não é sazonal,6.2,5, Weizen,3.6,7,4,14,4,7,43
Schneider Weisse TAP 6 Unser Aventinus,Weissbierbrauerei G. Schneider & SohnImportadoraStuttgartEstiloGerman Weizenbock  Álcool (%)8.2% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizenbock,NA,SIM,Não é sazonal,8.2,5, Weizen,3.8,7,4,15,4,8,165
Schneider Weisse TAP 7 Unser Original,Weissbierbrauerei G. Schneider & SohnImportadoraStuttgartEstiloGerman Weizen  Álcool (%)5.4% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,NA,SIM,Não é sazonal,5.4,5, Weizen,3.1,6,3,12,3,6,132
Schneider Weisse TAP 5 Meine Hopfenweisse,Weissbierbrauerei G. Schneider & SohnImportadoraStuttgartEstiloGerman Weizenbock  Álcool (%)8.2% ABVIngredientesagua, malte de trigo e cevada, lúpulos e leveduras.AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizenbock,NA,SIM,Não é sazonal,8.2,NA, Weizen,4.1,8,4,16,4,8,94
Schöfferhofer Hefeweizen,Binding-Brauerei,Oetker,German Weizen,5,SIM,Não é sazonal,5,7, Weizen,3.5,7,4,14,3,7,108
Schöfferhofer Kristallweizen ,Binding-Brauerei,Oetker,German Kristallweizen,5,SIM,Não é sazonal,5,7, Weizen,3.2,6,4,13,3,7,59
Schöfferhofer Dunkles Hefeweizen,Binding-BrauereiEstiloGerman Dunkelweizen  Álcool (%)5% ABVIngredientesÁgua, malte de trigo, malte de cevada, extrato de lúpuloAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal WeizenVisite o website,NA,German Dunkelweizen,5,SIM,Não é sazonal,8,12, Weizen,3.1,6,3,12,3,6,30
Schofferhofer Grapefruit Hefeweizen,Binding-Brauerei,Oetker,Fruit Beer,2.5,SIM,Não é sazonal,0,4, Tumbler,2.7,6,3,10,3,5,85
Spaten Hell,Spaten-Franziskaner-Bräu,Anheuser-InBevImportadoraAmBev,Munich Helles,5.2,SIM,Não é sazonal,0,4, Pilsner,3.1,6,3,12,3,6,67
Spaten Oktoberfestbier,Spaten-Franziskaner-Bräu,Anheuser-InBevImportadoraAmBev,Oktoberfest/Marzen,5.9,SIM,Oktoberfest,0,4, Caneca Pilsner,3.3,6,4,13,3,7,32
Spaten Optimator,Spaten-Franziskaner-Bräu,Anheuser-InBev,Doppelbock,7.2,SIM,Não é sazonal,8,12, Caneca Caldereta,3.7,7,4,15,4,7,45
Tucher Bajuvator Doppelbock,Tucher Bräu Fürth,OetkerImportadoraBeerTrade,Doppelbock,7.2,SIM,Inverno,8,12, Weizen,3.6,7,4,14,4,7,52
Tucher Dunkles Hefeweizen,Tucher Bräu Fürth,OetkerImportadoraBeerTrade,German Dunkelweizen,5.3,SIM,Não é sazonal,5,7, Weizen,3.1,6,4,12,3,6,35
Tucher Helles Hefe Weizen,Tucher Bräu Fürth,OetkerImportadoraBeerTrade,German Weizen,5.3,SIM,Não é sazonal,5,7, Weizen,3.3,6,3,13,3,7,93
Valentins Hefeweissbier,ParkbrauereiEstiloGerman Weizen  Álcool (%)5.2% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.2,SIM,Não é sazonal,5,7, Weizen,3,6,3,12,3,6,55
Warsteiner Premium Dunkel,Warsteiner BrauereiImportadoraBier&WeinEstiloMunich Dunkel  Álcool (%)4.9% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Tulipa CalderetaVisite o website,NA,Munich Dunkel,4.9,SIM,Não é sazonal,5,7, Tulipa Caldereta,2.7,5,3,11,3,5,55
Warsteiner Premium Verum,Warsteiner BrauereiImportadoraBier&WeinEstiloGerman Pilsner  Álcool (%)4.8% ABVIngredientesmalte de cevada, lúpulo, levedura e água,AtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Pilsner CanecaVisite o website,NA,German Pilsner,4.8,SIM,Não é sazonal,0,4, Pilsner Caneca,2.9,5,3,12,3,6,234
Weihenstephaner Hefe Weissbier,Bayerische Staatsbrauerei WeihenstephanImportadoraOn TradeEstiloGerman Weizen  Álcool (%)5.4% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.4,SIM,Não é sazonal,5,7, Weizen,3.7,7,4,15,4,8,250
Weihenstephaner Hefeweissbier Dunkel,Bayerische Staatsbrauerei WeihenstephanImportadoraOn TradeEstiloGerman Dunkelweizen  Álcool (%)5.3% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal WeizenVisite o website,NA,German Dunkelweizen,5.3,SIM,Não é sazonal,8,12, Weizen,3.6,7,4,14,4,7,28
Weihenstephaner Vitus,Bayerische Staatsbrauerei WeihenstephanImportadoraOn TradeEstiloGerman Weizenbock  Álcool (%)7.7% ABVAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal WeizenVisite o website,NA,German Weizenbock,7.7,SIM,Não é sazonal,8,12, Weizen,3.8,7,4,15,4,8,190
Weltenburger Kloster Anno 1050,Cervejaria PetrópolisEstiloOktoberfest/Marzen  Álcool (%)5.5% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CalderetaVisite o website,NA,Oktoberfest/Marzen,5.5,SIM,Não é sazonal,5,7, Caldereta,3.2,6,3,13,3,6,148
Weltenburger Kloster Barock Dunkel,Cervejaria PetrópolisEstiloMunich Dunkel  Álcool (%)4.7% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CanecaVisite o website,NA,Munich Dunkel,4.7,SIM,Não é sazonal,5,7, Caneca,3.1,6,3,12,3,6,154
Weltenburger Kloster Hefe-Weissbier Dunkel,Klosterbrauerei WeltenburgEstiloGerman Dunkelweizen  Álcool (%)5.3% ABVIngredientesÁgua, Malte de Trigo, Malte de Cevada, Lúpulo e LeveduraAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Dunkelweizen,5.3,SIM,Não é sazonal,5,7, Weizen,3.1,6,4,12,3,6,65
Weltenburger Kloster Urtyp Hell,Klosterbrauerei WeltenburgEstiloMunich Helles  Álcool (%)4.9% ABVIngredientesAgua, Malte de cevada e LupuloAtivaSIMSazonalNão é sazonalTemperatura0-4 °C Copo ideal Lager (Chope)Visite o website,NA,Munich Helles,4.9,SIM,Não é sazonal,0,4, Lager (Chope),2.8,5,3,11,3,6,94
Wernesgrüner Pils,Wernesgrüner Brauerei ,Bitburger,German Pilsner,4.9,SIM,Não é sazonal,5,7, Pilsner,2.9,5,3,12,3,6,149
Wolters Pilsener,Hofbrauhaus WoltersEstiloGerman Pilsner  Álcool (%)4.9% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal PilsnerVisite o website,NA,German Pilsner,4.9,SIM,Não é sazonal,5,7, Pilsner,2.6,5,3,10,3,5,31
Antares Barley Wine,AntaresEstiloBarley Wine  Álcool (%)10% ABVIngredientesAgua, Malte, Lupulo e LeveduraAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal ConhaqueVisite o website,NA,Barley Wine,10,SIM,Não é sazonal,8,12, Conhaque,3.4,7,4,14,3,7,47
Antares Imperial Stout,AntaresEstiloRussian Imperial Stout  Álcool (%)8.5% ABVIngredientesMalte (pilsen, chocolate e caramelo), lúpulo (cascade e fuggles), levêdo (ale europea) e águaAtivaSIMSazonalNão é sazonalTemperatura8-12 °C Copo ideal TaçaVisite o website,NA,Russian Imperial Stout,8.5,SIM,Não é sazonal,8,12, Taça,3.4,6,4,14,3,7,43
Antares Kölsch,AntaresEstiloKölsch  Álcool (%)5% ABVIngredientesAgua, Malte. Lupulo, LeveduraAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal CilíndricoVisite o website,NA,Kölsch,5,SIM,Não é sazonal,NA,5, Cilíndrico,3.1,6,3,13,3,6,30
